t,rx_packets,tx_packets,rx_silent_s,state,tec,rec,restarted,bus_errors,arbit_lost,error_warn,error_pass,bus_off
1788435114.2854116,4148536,1970369,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.2916105,4148556,1970383,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.3016515,4148568,1970397,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.311634,4148581,1970408,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.321724,4148596,1970417,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.3316288,4148615,1970429,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.3417177,4148649,1970436,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.3517895,4148677,1970451,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.3616712,4148708,1970460,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.3716362,4148732,1970474,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.3816197,4148761,1970486,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.3916554,4148793,1970502,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.401665,4148816,1970510,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.4116173,4148832,1970515,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.4216359,4148848,1970530,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.4316063,4148869,1970538,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.4416983,4148900,1970551,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.4516542,4148932,1970561,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.461583,4148959,1970579,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.4716027,4148971,1970586,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.48159,4148984,1970600,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.491879,4149002,1970611,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.5016108,4149015,1970627,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.5115957,4149030,1970641,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.5215952,4149050,1970650,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
1788435114.531619,4149062,1970656,0.0,ERROR-ACTIVE,0,0,0,0,0,5,5,0
